#Date  	Time  	I  	IMax  	IMin 
 05/13/2013  	 13:14:03  	 4.7  	 4.7  	 4.7 
 05/13/2013  	 13:13:03  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:12:02  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:11:02  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:10:02  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:09:02  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:08:02  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:07:02  	 4.7  	 5.7  	 4.7 
 05/13/2013  	 13:06:02  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:05:02  	 4.8  	 4.8  	 4.7 
 05/13/2013  	 13:04:02  	 4.8  	 4.8  	 4.7 
 05/13/2013  	 13:03:02  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 13:02:02  	 4.8  	 4.9  	 4.8 
 05/13/2013  	 13:01:02  	 4.8  	 5.0  	 4.8 
 05/13/2013  	 13:00:02  	 5.0  	 5.1  	 4.9 
 05/13/2013  	 12:59:02  	 5.1  	 11.2  	 5.1 
 05/13/2013  	 12:58:02  	 11.2  	 11.2  	 11.2 
 05/13/2013  	 12:57:02  	 11.2  	 11.2  	 11.2 
 05/13/2013  	 12:55:25  	 11.2  	 11.2  	 11.2 
 05/13/2013  	 12:54:25  	 11.2  	 11.2  	 11.1 
 05/13/2013  	 12:53:25  	 11.1  	 11.1  	 11.1 
 05/13/2013  	 12:52:25  	 11.1  	 11.1  	 11.0 
 05/13/2013  	 12:51:25  	 11.1  	 11.1  	 11.0 
 05/13/2013  	 12:50:25  	 11.0  	 11.0  	 10.9 
 05/13/2013  	 12:49:25  	 11.0  	 11.2  	 4.7 
 05/13/2013  	 12:48:25  	 4.8  	 5.9  	 4.7 
 05/13/2013  	 12:47:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:46:25  	 4.7  	 4.9  	 4.7 
 05/13/2013  	 12:45:25  	 4.8  	 4.8  	 4.7 
 05/13/2013  	 12:44:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:43:25  	 4.7  	 5.1  	 4.7 
 05/13/2013  	 12:42:25  	 4.8  	 4.9  	 4.7 
 05/13/2013  	 12:41:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:40:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:39:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:38:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:37:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:36:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:35:25  	 4.7  	 4.8  	 4.7 
 05/13/2013  	 12:34:25  	 4.8  	 5.0  	 4.7 
